target_mae,target_mse,target_rmse,source_mae,source_mse,source_rmse,trans_source_mae,trans_source_mse,trans_source_rmse
1.832,5.838,2.416195356340211,2.205,6.529,2.5551907952244974,2.024,5.81,2.41039415863879
2.144,7.854,2.802498884923953,3.548,15.372,3.92071422064909,3.317,13.427,3.664287106655263
0.359,0.523,0.7231873892705818,0.857,1.583,1.2581732790041282,0.857,1.583,1.2581732790041282
0.949,1.953,1.3974977638622539,1.522,3.824,1.9555050498528506,1.522,3.824,1.9555050498528506
0.401,0.591,0.7687652437513027,0.992,2.144,1.4642404174178503,0.992,2.144,1.4642404174178503
1.161,2.395,1.547578754054216,2.107,7.399,2.7201102918815625,2.125,7.569,2.75118156434649
0.686,1.162,1.0779610382569491,1.071,2.207,1.4855975228843106,0.921,2.057,1.4342245291445828
0.005,0.013,0.11401754250991379,0.066,0.158,0.39749213828703583,0.066,0.158,0.39749213828703583
0.018,0.042,0.20493901531919198,0.584,1.494,1.2222929272478018,0.584,1.494,1.2222929272478018
0.85,1.566,1.2513992168768526,1.017,2.057,1.4342245291445828,1.046,2.172,1.4737706741552432
0.191,0.341,0.5839520528262573,1.795,4.995,2.234949663862701,1.795,4.995,2.234949663862701
0.958,1.914,1.3834738884417008,1.079,2.299,1.5162453627299244,1.079,2.299,1.5162453627299244
0.919,1.853,1.3612494260788506,1.572,4.764,2.1826589289213283,1.57,5.036,2.244103384427732
1.047,2.009,1.417391971192161,1.402,3.468,1.8622566955175648,1.402,3.468,1.8622566955175648
1.964,6.46,2.541653005427767,2.205,7.529,2.743902330623304,2.283,7.897,2.8101601377857457
1.05,2.132,1.4601369798755184,1.078,2.318,1.5224979474534606,1.138,2.67,1.6340134638368191
1.194,2.606,1.6143109985377662,2.52,11.274,3.3576777689349524,2.435,10.139,3.1841796431734184
0.537,0.847,0.9203260291874831,4.995,30.987,5.566596805948856,5.146,32.2,5.674504383644443
1.556,4.256,2.0630075133164203,1.899,4.499,2.1210846282032216,1.859,4.369,2.090215299915298
0.696,1.04,1.019803902718557,1.435,3.567,1.8886503117305755,1.137,2.461,1.5687574701017362
1.261,2.919,1.70850812113961,1.43,3.746,1.9354586019855862,1.43,3.746,1.9354586019855862
0.115,0.129,0.35916569992135944,0.838,1.626,1.2751470503436064,0.838,1.626,1.2751470503436064
1.08,2.276,1.5086417732516888,1.845,5.347,2.312358103754693,1.845,5.347,2.312358103754693
1.551,4.289,2.070990101376634,1.851,5.867,2.4221890925359233,1.851,5.867,2.4221890925359233
1.124,2.468,1.5709869509324386,1.944,6.412,2.5321927256826244,2.016,6.752,2.5984610830258745
0.082,0.1,0.31622776601683794,3.541,16.119,4.014847444175183,3.541,16.119,4.014847444175183
1.556,4.802,2.191346617949794,2.019,6.183,2.486563894212252,1.932,5.756,2.3991665219404843
0.058,0.104,0.322490309931942,0.263,0.349,0.5907622195096771,0.262,0.348,0.589915248150105
0.035,0.037,0.19235384061671346,2.819,10.801,3.286487486664144,2.819,10.801,3.286487486664144
1.212,2.866,1.692926460304759,2.975,13.211,3.6346939348451337,2.975,13.211,3.6346939348451337
1.014,2.072,1.4394443372357266,1.414,2.242,1.4973309587395833,1.0,1.0,1.0
0.823,1.317,1.147606204235582,0.838,0.938,0.96850400102426,0.838,0.938,0.96850400102426
1.072,2.22,1.489966442575134,2.131,7.623,2.7609780875624494,2.571,10.037,3.1681224723801322
0.807,1.585,1.2589678312014172,1.454,3.662,1.9136352839556445,1.474,3.644,1.9089263998384014
0.701,1.073,1.0358571330062847,1.825,5.449,2.334309319691801,1.848,5.542,2.354145280138845
1.165,2.437,1.5610893632332519,1.264,2.116,1.4546477236774544,1.264,2.116,1.4546477236774544
1.375,3.343,1.8283872675120005,1.821,5.707,2.388932816133597,1.821,5.707,2.388932816133597
1.553,4.157,2.038872237291979,2.101,7.315,2.7046256672597044,2.114,7.372,2.715142721847233
1.38,3.526,1.8777646284878198,1.836,3.556,1.8857359306117067,1.836,3.556,1.8857359306117067
1.011,2.231,1.4936532395439042,1.549,4.297,2.0729206448873048,1.343,3.337,1.826745740380965
1.112,2.362,1.5368799562750501,1.151,1.977,1.4060583202698245,1.115,1.823,1.3501851724856113
1.586,4.372,2.0909328061896204,2.728,10.63,3.2603680773802215,2.007,5.175,2.274862633215465
0.738,1.264,1.1242775458044156,2.065,6.847,2.6166772823563855,2.095,6.989,2.6436716891475007
0.862,1.832,1.3535139452550904,1.881,5.587,2.363683565962246,1.89,5.624,2.371497417245062
0.799,1.233,1.110405331399305,0.834,1.314,1.146298390472568,0.834,1.314,1.146298390472568
1.447,3.595,1.896048522585854,2.568,7.074,2.6596992311161802,2.386,6.366,2.523093339533835
1.085,2.045,1.4300349646075092,1.171,1.971,1.4039230748157108,1.171,1.971,1.4039230748157108
0.159,0.211,0.4593473631142341,2.231,7.415,2.72304976083802,2.231,7.415,2.72304976083802
1.666,4.826,2.1968158775828255,1.747,5.399,2.323574832020695,1.747,5.399,2.323574832020695
0.8,1.27,1.1269427669584644,2.192,7.824,2.797141397927534,2.189,7.793,2.791594526431086
1.03,2.058,1.4345731072343437,1.231,2.773,1.665232716469383,1.233,2.765,1.6628289148315891
0.905,1.721,1.3118688958886098,3.026,12.106,3.47936775865961,3.026,12.106,3.47936775865961
0.832,1.484,1.2181953866272848,2.066,6.298,2.5095816384409573,2.066,6.298,2.5095816384409573
0.632,1.008,1.0039920318408906,2.219,7.975,2.8240042492885875,2.163,7.929,2.8158480072617555
0.694,1.328,1.1523888232710346,5.289,34.425,5.867282164682384,5.289,34.425,5.867282164682384
1.259,3.149,1.7745421944828474,1.31,2.766,1.6631295800387893,1.312,2.762,1.6619265928433782
2.208,8.446,2.906200268391702,3.001,11.439,3.382159073727905,2.748,9.762,3.124419946166008
0.102,0.156,0.39496835316262996,0.984,3.182,1.7838161340227865,0.984,3.182,1.7838161340227865
1.3,3.016,1.7366634676873929,1.865,3.927,1.9816659657974651,1.922,4.162,2.0400980368599937
0.78,1.326,1.1515207336387825,3.387,15.169,3.894740042672938,3.387,15.169,3.894740042672938
0.388,0.532,0.7293833011524188,0.938,1.982,1.4078352176302453,0.938,1.982,1.4078352176302453
0.796,1.22,1.104536101718726,0.894,0.9,0.9486832980505138,0.996,1.0,1.0
0.783,1.227,1.1077003204838392,1.569,4.377,2.092128103152386,1.439,3.843,1.960357110324545
0.818,1.264,1.1242775458044156,2.882,12.22,3.4957116585897072,2.807,11.737,3.4259305305274363
1.431,3.677,1.9175505208468433,1.45,3.334,1.8259244234085923,1.45,3.334,1.8259244234085923
0.042,0.074,0.2720294101747089,0.762,1.514,1.230447073221762,0.762,1.514,1.230447073221762
0.954,1.974,1.4049911031746785,2.462,9.538,3.0883652633715464,2.456,9.486,3.079935064250544
1.1,2.426,1.557562197795003,1.13,1.784,1.33566462856512,1.13,1.784,1.33566462856512
0.29,0.362,0.6016643582596529,1.186,3.304,1.817690842800282,1.186,3.304,1.817690842800282
0.331,0.499,0.7063993204979744,0.605,0.921,0.9596874491208063,0.605,0.921,0.9596874491208063
0.656,0.968,0.9838699100999074,1.432,3.652,1.9110206696946006,1.474,3.928,1.9819182626939993
0.487,0.791,0.8893818077743664,1.028,2.222,1.4906374475371267,1.049,2.287,1.512283042290695
0.583,1.249,1.117586685675881,0.682,1.11,1.0535653752852738,0.682,1.11,1.0535653752852738
0.396,0.568,0.7536577472566709,2.76,10.336,3.214965007585619,2.76,10.336,3.214965007585619
1.108,2.514,1.5855598380382874,1.585,4.335,2.082066281365701,1.51,4.126,2.0312557692225766
0.931,1.569,1.2525973016097391,1.75,5.598,2.3660092983756424,1.752,5.636,2.3740261161158274
0.982,1.982,1.4078352176302453,2.927,12.269,3.5027132340515688,2.872,11.866,3.4447060832529672
